                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4618,                 2.7407,                 1.3033,                0.00323,                 0.9697,                0.42095,                0.22369,                 1.2754,                 3.6794,                 1.0973,                0.00064,                0.00064,                0.00064
                      1,                 1.4509,                 1.8658,                 1.2683,                0.66275,                 0.4764,                0.52542,                0.29284,                  1.434,                 3.1996,                 1.2958,              0.0012997,              0.0012997,              0.0012997
                      2,                  1.488,                 1.6682,                 1.3012,                0.26897,                0.29545,                0.20213,                0.09211,                 1.6098,                 2.9556,                 1.3546,              0.0019581,              0.0019581,              0.0019581
                      3,                 1.4639,                 1.5301,                 1.3068,                0.88551,                0.70312,                0.78025,                0.38623,                 1.7956,                 1.8931,                 1.4959,              0.0019956,              0.0019956,              0.0019956
                      4,                 1.4487,                  1.364,                 1.2907,                  0.627,                 0.7197,                0.60511,                0.31735,                  1.541,                 2.1715,                 1.3346,              0.0019956,              0.0019956,              0.0019956
                      5,                 1.4159,                 1.2569,                 1.2609,                0.51111,                0.63361,                0.48087,                0.24885,                 1.5221,                 2.1947,                 1.4249,              0.0019922,              0.0019922,              0.0019922
                      6,                 1.4811,                 1.2263,                 1.3345,                0.90907,                0.75739,                0.86158,                0.48135,                 1.4994,                 1.3046,                 1.3365,              0.0019878,              0.0019878,              0.0019878
                      7,                  1.411,                  1.158,                 1.2791,                0.66991,                0.67424,                0.71146,                 0.3918,                 1.5207,                 1.1957,                 1.3894,              0.0019825,              0.0019825,              0.0019825
                      8,                 1.4468,                 1.0982,                 1.2826,                0.78368,                   0.75,                0.77717,                0.35139,                 1.7332,                 1.2992,                 1.5446,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.3951,                 1.0332,                 1.2824,                 0.8021,                0.79836,                0.87994,                 0.5048,                 1.3872,                 1.4671,                 1.3618,              0.0019689,              0.0019689,              0.0019689
                     10,                 1.3722,                0.96748,                 1.2268,                0.88334,                0.86045,                0.88683,                0.53841,                 1.2817,                 1.0012,                  1.269,              0.0019607,              0.0019607,              0.0019607
                     11,                  1.365,                0.95994,                  1.224,                0.93727,                0.82576,                 0.9082,                0.52477,                 1.3996,                0.97107,                 1.2574,              0.0019515,              0.0019515,              0.0019515
                     12,                 1.3348,                0.94893,                 1.2149,                0.92551,                0.84091,                0.88315,                0.50805,                 1.4656,                0.87263,                 1.3056,              0.0019415,              0.0019415,              0.0019415
                     13,                  1.325,                0.89361,                  1.223,                0.89145,                0.87099,                0.87124,                0.51979,                 1.3713,                0.99352,                 1.2809,              0.0019305,              0.0019305,              0.0019305
                     14,                 1.3585,                0.90417,                 1.2208,                0.86437,                0.77273,                0.85456,                0.48971,                 1.4595,                0.94883,                 1.3315,              0.0019186,              0.0019186,              0.0019186
                     15,                 1.3517,                0.92367,                 1.2359,                0.86598,                0.88636,                 0.9155,                0.52564,                 1.3955,                0.95396,                 1.2913,              0.0019058,              0.0019058,              0.0019058
                     16,                 1.3621,                0.85951,                 1.2401,                0.91014,                0.83333,                0.90359,                0.51951,                 1.3429,                0.85838,                 1.2808,              0.0018921,              0.0018921,              0.0018921
