                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92183,                0.60969,                 1.1033,                0.98984,                0.97656,                0.99184,                0.74625,                0.91497,                0.39416,                 1.0278,              0.0033308,              0.0033308,              0.0033308
                      1,                0.85926,                0.47204,                 1.0682,                0.98803,                0.93623,                 0.9748,                 0.7287,                0.96081,                0.51663,                 1.0718,              0.0065322,              0.0065322,              0.0065322
                      2,                0.88877,                0.51826,                  1.095,                 0.9863,                0.96159,                0.98337,                0.74039,                0.93923,                0.45552,                 1.0478,              0.0096016,              0.0096016,              0.0096016
                      3,                0.88654,                0.51867,                 1.1029,                0.98972,                0.97055,                0.98525,                0.75455,                0.91572,                0.40746,                 1.0294,               0.009406,               0.009406,               0.009406
                      4,                0.84117,                0.47559,                 1.0804,                0.99069,                0.96582,                0.98559,                0.74918,                0.91328,                0.42103,                 1.0386,               0.009406,               0.009406,               0.009406
                      5,                0.80671,                0.44331,                 1.0645,                0.99253,                0.97137,                0.98782,                 0.7748,                0.87358,                0.37884,                 1.0127,               0.009208,               0.009208,               0.009208
                      6,                0.78544,                0.42435,                 1.0507,                0.99051,                0.97335,                 0.9892,                0.78328,                 0.8766,                0.35788,                 1.0077,                0.00901,                0.00901,                0.00901
                      7,                0.76333,                0.40805,                 1.0366,                0.98644,                0.97681,                0.98996,                0.78767,                0.86742,                0.35076,                 1.0021,               0.008812,               0.008812,               0.008812
                      8,                0.75169,                0.39711,                 1.0294,                 0.9943,                0.97555,                0.99086,                0.79341,                0.86121,                0.33519,                0.99912,               0.008614,               0.008614,               0.008614
                      9,                0.74008,                0.38431,                 1.0192,                0.99325,                0.97782,                0.99269,                0.79272,                0.85557,                0.33321,                0.99621,               0.008416,               0.008416,               0.008416
                     10,                0.72918,                0.37619,                 1.0191,                0.99046,                0.97983,                0.99225,                0.78965,                0.84823,                0.32142,                0.99395,               0.008218,               0.008218,               0.008218
                     11,                0.71911,                0.36831,                 1.0096,                0.99284,                0.97808,                 0.9935,                0.79431,                0.85005,                0.32073,                 0.9888,                0.00802,                0.00802,                0.00802
                     12,                0.70813,                0.35829,                 1.0007,                0.99359,                0.97745,                0.99359,                0.79925,                0.84822,                0.30849,                0.98635,               0.007822,               0.007822,               0.007822
                     13,                0.70379,                0.35796,                0.99528,                0.99301,                0.97857,                0.99365,                0.79738,                0.83587,                0.30668,                0.98168,               0.007624,               0.007624,               0.007624
                     14,                 0.7013,                0.35277,                 1.0017,                0.99337,                0.98126,                0.99435,                0.79594,                0.83602,                0.30203,                0.98511,               0.007426,               0.007426,               0.007426
                     15,                0.69285,                0.34432,                0.99642,                0.99388,                0.98176,                0.99359,                0.79949,                0.83971,                0.30461,                0.98574,               0.007228,               0.007228,               0.007228
                     16,                0.68619,                0.34181,                0.99587,                0.99387,                0.98095,                0.99419,                 0.8036,                0.82942,                0.29962,                0.97877,                0.00703,                0.00703,                0.00703
                     17,                0.68378,                0.33672,                0.99334,                0.99312,                0.98249,                0.99423,                0.80744,                0.83362,                 0.2949,                0.98217,               0.006832,               0.006832,               0.006832
                     18,                0.67838,                0.33296,                0.99214,                0.99438,                0.98165,                 0.9943,                0.81221,                0.82339,                0.28509,                0.97613,               0.006634,               0.006634,               0.006634
                     19,                0.66756,                0.32721,                0.98593,                0.99312,                0.98232,                0.99413,                0.80933,                0.82052,                0.28468,                0.97483,               0.006436,               0.006436,               0.006436
                     20,                0.66512,                0.32556,                0.98146,                0.99446,                0.98261,                0.99432,                0.80787,                0.82234,                0.27828,                0.97377,               0.006238,               0.006238,               0.006238
                     21,                0.65782,                0.31818,                0.97876,                0.99263,                 0.9845,                0.99427,                 0.8104,                0.82237,                0.27756,                0.97173,                0.00604,                0.00604,                0.00604
                     22,                0.65622,                0.31808,                0.97581,                0.99388,                0.98296,                0.99449,                0.81018,                0.82176,                0.27767,                0.97365,               0.005842,               0.005842,               0.005842
                     23,                0.65319,                0.31348,                0.97924,                0.99015,                0.98832,                0.99444,                 0.8096,                0.82861,                0.27428,                0.97393,               0.005644,               0.005644,               0.005644
                     24,                0.64091,                 0.3081,                0.97338,                0.99338,                0.98421,                0.99436,                0.81221,                0.81648,                0.27047,                0.97015,               0.005446,               0.005446,               0.005446
                     25,                 0.6399,                0.30528,                0.97426,                0.99298,                0.98563,                0.99437,                0.81541,                0.81375,                0.26715,                 0.9698,               0.005248,               0.005248,               0.005248
                     26,                0.63326,                0.30174,                0.96591,                0.99384,                0.98412,                 0.9944,                0.81453,                0.81671,                0.26791,                0.96967,                0.00505,                0.00505,                0.00505
                     27,                0.63417,                0.30153,                0.96699,                0.99338,                0.98387,                0.99437,                0.81432,                0.81985,                0.26721,                0.97145,               0.004852,               0.004852,               0.004852
                     28,                0.62328,                0.29458,                0.96823,                 0.9889,                0.98818,                0.99436,                0.81419,                0.82041,                0.26701,                0.97262,               0.004654,               0.004654,               0.004654
                     29,                0.62079,                0.29363,                0.96333,                0.99364,                0.98402,                0.99438,                0.81523,                0.81755,                0.26412,                0.97117,               0.004456,               0.004456,               0.004456
                     30,                0.61561,                0.29173,                0.95827,                 0.9939,                0.98556,                0.99466,                0.81568,                0.81766,                0.26317,                0.96869,               0.004258,               0.004258,               0.004258
                     31,                0.60892,                0.28504,                 0.9565,                0.99341,                0.98754,                0.99466,                0.81557,                0.81707,                0.26182,                0.96741,                0.00406,                0.00406,                0.00406
                     32,                0.60493,                0.28346,                0.94839,                0.99338,                0.98765,                0.99468,                0.81662,                0.81649,                0.26068,                0.96725,               0.003862,               0.003862,               0.003862
                     33,                0.60067,                0.27812,                0.95085,                0.99379,                0.98664,                 0.9946,                0.81666,                0.81661,                0.25953,                 0.9679,               0.003664,               0.003664,               0.003664
                     34,                0.59613,                0.27493,                0.94858,                0.99183,                 0.9884,                0.99438,                0.81554,                0.81687,                0.25942,                0.96745,               0.003466,               0.003466,               0.003466
                     35,                0.58684,                0.27308,                  0.949,                0.99201,                0.98714,                0.99445,                0.81566,                0.81663,                0.25881,                0.96826,               0.003268,               0.003268,               0.003268
                     36,                0.58169,                0.26799,                0.95028,                0.99319,                0.98815,                0.99456,                0.81685,                0.81671,                0.25807,                 0.9687,                0.00307,                0.00307,                0.00307
                     37,                0.57844,                0.26547,                 0.9464,                 0.9927,                 0.9884,                0.99451,                0.81623,                0.81757,                 0.2583,                0.96914,               0.002872,               0.002872,               0.002872
                     38,                0.56764,                0.26102,                0.94204,                0.99141,                0.98968,                0.99456,                0.81584,                0.81641,                0.25774,                0.96864,               0.002674,               0.002674,               0.002674
                     39,                0.56539,                0.25868,                0.93749,                0.99217,                0.98965,                0.99457,                0.81717,                0.81691,                  0.257,                0.96823,               0.002476,               0.002476,               0.002476
                     40,                0.55896,                0.25413,                0.93532,                0.99152,                0.98992,                0.99455,                 0.8168,                 0.8185,                0.25633,                0.96831,               0.002278,               0.002278,               0.002278
                     41,                0.55455,                0.25355,                0.93201,                0.99325,                 0.9879,                0.99458,                0.81596,                0.82001,                0.25635,                0.96883,                0.00208,                0.00208,                0.00208
                     42,                0.54808,                0.24886,                0.93018,                0.99225,                0.98891,                0.99457,                0.81595,                0.82092,                0.25681,                0.96933,               0.001882,               0.001882,               0.001882
                     43,                0.54185,                0.24484,                0.92819,                0.99216,                0.98901,                0.99458,                0.81627,                0.82145,                0.25659,                0.96951,               0.001684,               0.001684,               0.001684
                     44,                0.53739,                0.24196,                0.92594,                0.99225,                0.98966,                0.99458,                0.81643,                0.82202,                0.25639,                 0.9697,               0.001486,               0.001486,               0.001486
                     45,                0.54528,                0.22391,                0.89547,                0.99117,                0.98989,                0.99461,                0.81596,                0.82123,                0.25563,                0.96955,               0.001288,               0.001288,               0.001288
                     46,                0.52706,                0.21744,                0.89038,                0.99291,                0.98808,                 0.9946,                0.81628,                 0.8211,                0.25523,                0.96958,                0.00109,                0.00109,                0.00109
                     47,                0.51611,                 0.2126,                0.88615,                0.99142,                0.98989,                0.99463,                0.81643,                0.82128,                0.25522,                0.96989,               0.000892,               0.000892,               0.000892
                     48,                0.50713,                0.20777,                0.88583,                0.99142,                0.98981,                0.99464,                 0.8167,                0.82138,                0.25503,                0.97021,               0.000694,               0.000694,               0.000694
                     49,                0.49645,                0.20215,                0.87984,                 0.9911,                0.99017,                0.99465,                0.81686,                0.82164,                0.25504,                0.97051,               0.000496,               0.000496,               0.000496
