                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95509,                 0.7425,                 1.0943,                0.98675,                0.97638,                0.98954,                0.73322,                0.93945,                0.42243,                 1.0306,              0.0033308,              0.0033308,              0.0033308
                      1,                0.86623,                0.48695,                 1.0391,                0.98993,                0.96471,                0.98607,                0.74681,                0.94505,                0.46311,                 1.0437,              0.0065322,              0.0065322,              0.0065322
                      2,                 0.8932,                0.52821,                 1.0589,                0.97766,                0.95964,                0.97987,                0.72648,                0.94374,                0.50438,                 1.0457,              0.0096016,              0.0096016,              0.0096016
                      3,                0.89017,                 0.5313,                 1.0559,                 0.9879,                 0.9671,                0.98358,                0.74902,                0.93046,                0.45109,                 1.0264,               0.009406,               0.009406,               0.009406
                      4,                0.84224,                0.48761,                  1.035,                0.99248,                 0.9695,                0.98721,                0.76223,                0.90334,                0.41703,                 1.0187,               0.009406,               0.009406,               0.009406
                      5,                0.81363,                0.45755,                 1.0225,                0.98903,                0.96925,                0.98572,                0.75809,                0.90096,                0.39886,                 1.0143,               0.009208,               0.009208,               0.009208
                      6,                0.79002,                0.43827,                  1.011,                0.99013,                0.97303,                0.98637,                0.76982,                0.88111,                0.38239,                 1.0059,                0.00901,                0.00901,                0.00901
                      7,                0.76875,                0.42068,                 1.0015,                0.98723,                0.97442,                 0.9893,                0.78518,                0.86496,                0.36777,                0.99251,               0.008812,               0.008812,               0.008812
                      8,                0.75878,                0.41146,                0.99649,                0.99105,                 0.9753,                0.99007,                0.78192,                 0.8697,                0.36027,                 1.0024,               0.008614,               0.008614,               0.008614
                      9,                0.74193,                0.39706,                 0.9893,                0.99283,                0.97735,                0.99238,                0.78246,                0.86864,                0.35087,                0.99349,               0.008416,               0.008416,               0.008416
                     10,                0.73256,                0.38688,                0.98724,                0.99087,                0.97908,                0.99024,                0.78639,                0.85122,                0.34193,                0.98491,               0.008218,               0.008218,               0.008218
                     11,                 0.7238,                0.38109,                0.98089,                0.99255,                0.97429,                 0.9919,                0.78172,                0.86522,                0.34138,                0.98509,                0.00802,                0.00802,                0.00802
                     12,                 0.7154,                0.37354,                0.97548,                0.99182,                0.97827,                0.99171,                0.78949,                 0.8558,                0.34057,                0.98037,               0.007822,               0.007822,               0.007822
                     13,                0.71135,                0.36886,                0.96952,                0.99309,                0.97881,                0.99329,                0.79588,                0.84576,                0.32891,                0.97354,               0.007624,               0.007624,               0.007624
                     14,                0.71157,                0.36557,                0.97233,                 0.9935,                0.97857,                0.99328,                0.79303,                 0.8433,                  0.326,                0.97407,               0.007426,               0.007426,               0.007426
                     15,                0.69876,                0.35706,                0.96776,                0.99324,                0.98059,                0.99268,                0.79462,                0.84288,                0.32023,                0.97145,               0.007228,               0.007228,               0.007228
                     16,                0.69629,                 0.3549,                0.96569,                0.99236,                0.98285,                 0.9941,                0.79927,                0.83981,                0.31595,                0.96718,                0.00703,                0.00703,                0.00703
                     17,                0.69149,                0.34997,                0.96184,                0.99411,                  0.978,                0.99379,                0.80328,                0.84226,                0.31814,                0.96313,               0.006832,               0.006832,               0.006832
